Title,Duration,Rating,Voting,Genre
 Mufasa: The Lion King,1h 58m,6.6,58000,Adventure
 Moana 2,1h 40m,6.6,98000,Adventure
 Flow,1h 25m,7.9,70000,Adventure
 Gladiator II,2h 28m,6.5,225000,Adventure
 Twisters,2h 2m,6.5,165000,Adventure
 Sonic the Hedgehog 3,1h 50m,6.9,57000,Adventure
 Venom: The Last Dance,1h 50m,6.0,114000,Adventure
 Deadpool & Wolverine,2h 8m,7.6,487000,Adventure
 Dune: Part Two,2h 46m,8.5,620000,Adventure
 Freaky Tales,1h 46m,7.2,839000,Adventure
 The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,7.0,3700,Adventure
 Furiosa: A Mad Max Saga,2h 28m,7.5,283000,Adventure
 Solo Leveling: ReAwakening,2h 1m,8.9,11000,Adventure
 Borderlands,1h 41m,4.7,47000,Adventure
 Paddington in Peru,1h 46m,6.7,19000,Adventure
 The Count of Monte-Cristo,2h 58m,7.6,33000,Adventure
 Despicable Me 4,1h 34m,6.2,64000,Adventure
 Transformers One,1h 44m,7.6,49000,Adventure
 The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3,30000,Adventure
 Inside Out 2,1h 36m,7.5,215000,Adventure
 The Return,1h 56m,6.2,8000,Adventure
 Madame Web,1h 56m,4.0,100000,Adventure
 Bad Boys: Ride or Die,1h 55m,6.5,99000,Adventure
 Kingdom of the Planet of the Apes,2h 25m,6.9,151000,Adventure
 Godzilla x Kong: The New Empire,1h 55m,6.0,121000,Adventure
 Ghostbusters: Frozen Empire,1h 55m,6.1,93000,Adventure
 Damsel,1h 50m,6.1,109000,Adventure
 Red One,2h 3m,6.3,139000,Adventure
 Love Lies Bleeding,1h 44m,6.6,56000,Adventure
 Spaceman,1h 47m,5.7,43000,Adventure
 Uglies,1h 40m,4.7,32000,Adventure
 Kung Fu Panda 4,1h 34m,6.3,67000,Adventure
 Attack on Titan the Movie: The Last Attack,2h 25m,9.2,15000,Adventure
 Survive,1h 30m,4.6,2300,Adventure
 The Garfield Movie,1h 41m,5.7,24000,Adventure
 Spellbound,1h 49m,5.6,7200,Adventure
 Harold and the Purple Crayon,1h 30m,5.7,8200,Adventure
 Wallace & Gromit: Vengeance Most Fowl,1h 22m,7.5,34000,Adventure
 Night of the Zoopocalypse,1h 31m,6.2,510000,Adventure
 Atlas,1h 58m,5.6,56000,Adventure
 Rebel Moon - Part Two: The Scargiver,2h 2m,5.3,59000,Adventure
 Descendants: The Rise of Red,1h 31m,4.7,7000,Adventure
 Kalki 2898 AD,3h,7.0,66000,Adventure
 Arthur the King,1h 47m,7.0,34000,Adventure
